step,adamw,scao
1,4.937716007232666,4.937716007232666
2,4.4903411865234375,4.4903411865234375
3,4.343462944030762,4.343462944030762
4,4.225732803344727,4.225732326507568
5,4.154913425445557,4.154913425445557
6,4.123096466064453,4.123096466064453
7,4.078614234924316,4.078613758087158
8,4.063773155212402,4.063773155212402
9,4.00769567489624,4.00769567489624
10,3.975484848022461,3.975484609603882
11,3.9519906044006348,3.9519906044006348
12,3.9084017276763916,3.9084019660949707
13,3.8759615421295166,3.8759615421295166
14,3.837120294570923,3.837120294570923
15,3.7610161304473877,3.7610161304473877
16,3.736170530319214,3.736170530319214
17,3.6524229049682617,3.6524226665496826
18,3.632533073425293,3.632533073425293
19,3.5802459716796875,3.5802459716796875
20,3.541348457336426,3.541348457336426
21,3.537324905395508,3.537324905395508
22,3.465141773223877,3.465141773223877
23,3.4813177585601807,3.4813177585601807
24,3.4397809505462646,3.439781665802002
25,3.405640125274658,3.405640125274658
26,3.3946001529693604,3.3946001529693604
27,3.3734593391418457,3.3734593391418457
28,3.338932991027832,3.338932991027832
29,3.295128583908081,3.295128583908081
30,3.250654935836792,3.250654935836792
31,3.239593744277954,3.239593744277954
32,3.23245906829834,3.23245906829834
33,3.2161903381347656,3.2161903381347656
34,3.217954635620117,3.217954635620117
35,3.1644186973571777,3.1644186973571777
36,3.13409686088562,3.134097099304199
37,3.135751724243164,3.135751962661743
38,3.1048965454101562,3.1048965454101562
39,3.1057522296905518,3.1057522296905518
40,3.106276512145996,3.106276512145996
41,3.054917573928833,3.054917812347412
42,3.06673002243042,3.06673002243042
43,3.0026910305023193,3.0026910305023193
44,3.012460470199585,3.012460470199585
45,2.9792160987854004,2.9792163372039795
46,3.013477325439453,3.013477325439453
47,2.99389910697937,2.99389910697937
48,2.9908196926116943,2.9908199310302734
49,3.0070321559906006,3.0070321559906006
50,2.9140729904174805,2.9140732288360596
51,2.913579225540161,2.913579225540161
52,2.918823480606079,2.9304842948913574
53,2.8760786056518555,2.898078441619873
54,2.888629674911499,2.917182445526123
55,2.892895221710205,2.935202121734619
56,2.880796194076538,2.931269884109497
57,2.801971435546875,2.865530490875244
58,2.85048770904541,2.9169511795043945
59,2.8463282585144043,2.9249684810638428
60,2.8455846309661865,2.926738739013672
61,2.8383772373199463,2.9321088790893555
62,2.802542209625244,2.903398036956787
63,2.7985353469848633,2.9079906940460205
64,2.8224740028381348,2.9253029823303223
65,2.843414068222046,2.9610416889190674
66,2.828035354614258,2.9561121463775635
67,2.8001177310943604,2.934237241744995
68,2.789168119430542,2.9225714206695557
69,2.7970502376556396,2.9408509731292725
70,2.7841906547546387,2.9407200813293457
71,2.764066219329834,2.9203944206237793
72,2.7915425300598145,2.953873634338379
73,2.762925863265991,2.931434154510498
74,2.7687010765075684,2.9398000240325928
75,2.7578678131103516,2.9359288215637207
76,2.762749433517456,2.9459614753723145
77,2.70113468170166,2.8965117931365967
78,2.7562036514282227,2.933098077774048
79,2.752817392349243,2.9520697593688965
80,2.7301340103149414,2.931408405303955
81,2.7064218521118164,2.9150466918945312
82,2.7026546001434326,2.919560670852661
83,2.7363672256469727,2.9538614749908447
84,2.689551591873169,2.8913934230804443
85,2.7418713569641113,2.9560580253601074
86,2.7105374336242676,2.9312453269958496
87,2.666410207748413,2.900738477706909
88,2.6998202800750732,2.9248881340026855
89,2.700737476348877,2.9205238819122314
90,2.7071495056152344,2.9432671070098877
91,2.722226619720459,2.959261894226074
92,2.725644826889038,2.959364652633667
93,2.7033393383026123,2.951366901397705
94,2.6943023204803467,2.9329230785369873
95,2.690938711166382,2.9366142749786377
96,2.686802625656128,2.9311349391937256
97,2.6929774284362793,2.9478909969329834
98,2.681384325027466,2.9284162521362305
99,2.7426674365997314,2.9982988834381104
100,2.6895105838775635,2.9548423290252686
101,2.6842057704925537,2.963092088699341
102,2.6214241981506348,2.8777310848236084
103,2.690969467163086,2.974449872970581
104,2.617356538772583,2.890350341796875
105,2.6556386947631836,2.9432883262634277
106,2.6615922451019287,2.9399328231811523
107,2.624563217163086,2.911491870880127
108,2.6734321117401123,2.948631525039673
109,2.681295156478882,2.961817979812622
110,2.655320882797241,2.9335062503814697
111,2.6624300479888916,2.9452176094055176
112,2.6412980556488037,2.92301869392395
113,2.6313157081604004,2.9202771186828613
114,2.6273193359375,2.9158236980438232
115,2.655912160873413,2.9399592876434326
116,2.633880615234375,2.92415189743042
117,2.641761541366577,2.9568989276885986
118,2.6312143802642822,2.92362380027771
119,2.6381800174713135,2.949856758117676
120,2.619394540786743,2.908499240875244
121,2.6514806747436523,2.9642839431762695
122,2.5966193675994873,2.8950417041778564
123,2.663954019546509,2.962651491165161
124,2.5918519496917725,2.893747568130493
125,2.558624505996704,2.86311936378479
126,2.5960631370544434,2.9117140769958496
127,2.607539653778076,2.91096568107605
128,2.601172924041748,2.924010992050171
129,2.655813217163086,2.9628891944885254
130,2.6054389476776123,2.9133965969085693
131,2.6010141372680664,2.9042129516601562
132,2.658672571182251,2.978226900100708
133,2.594346523284912,2.909233808517456
134,2.603912353515625,2.9165706634521484
135,2.5959715843200684,2.9068448543548584
136,2.5731842517852783,2.9048643112182617
137,2.604262113571167,2.918483018875122
138,2.614194631576538,2.92771577835083
139,2.638115644454956,2.940359115600586
140,2.5790557861328125,2.927741289138794
141,2.589142084121704,2.9177355766296387
142,2.6120047569274902,2.942518472671509
143,2.7037134170532227,3.014699935913086
144,2.5780112743377686,2.9060850143432617
145,2.62095308303833,2.9717044830322266
146,2.635403871536255,2.9508297443389893
147,2.6147446632385254,2.9472031593322754
148,2.6463236808776855,2.979884147644043
149,2.650629997253418,2.9792912006378174
150,2.623492479324341,2.9606521129608154
151,2.5612711906433105,2.895793914794922
152,2.62164306640625,2.9460697174072266
153,2.625734806060791,2.957690715789795
154,2.602548122406006,2.9277822971343994
155,2.549549102783203,2.8909752368927
156,2.5756161212921143,2.9168715476989746
157,2.557015895843506,2.899675130844116
158,2.572030544281006,2.9217846393585205
159,2.591562032699585,2.9292733669281006
160,2.5963656902313232,2.9214284420013428
161,2.6363604068756104,2.9534380435943604
162,2.6337761878967285,2.951726198196411
163,2.5835344791412354,2.913450002670288
164,2.6642284393310547,2.9974539279937744
165,2.5674734115600586,2.92447566986084
166,2.579843282699585,2.9140872955322266
167,2.6238982677459717,2.9519944190979004
168,2.645982503890991,2.9601430892944336
169,2.6062045097351074,2.9561939239501953
170,2.625506639480591,2.946190357208252
171,2.602449655532837,2.9613215923309326
172,2.587590217590332,2.9394516944885254
173,2.5398459434509277,2.8880069255828857
174,2.5578291416168213,2.9260222911834717
175,2.5757293701171875,2.929513454437256
176,2.6090731620788574,2.9574201107025146
177,2.5595076084136963,2.9255728721618652
178,2.567613124847412,2.910121440887451
179,2.548373222351074,2.8888986110687256
180,2.631453275680542,2.9805192947387695
181,2.5567104816436768,2.92055606842041
182,2.6301350593566895,2.9909989833831787
183,2.6218628883361816,2.9660837650299072
184,2.557790994644165,2.9011337757110596
185,2.602383852005005,2.949810266494751
186,2.6219546794891357,2.9885036945343018
187,2.589574098587036,2.9353346824645996
188,2.5847792625427246,2.936875581741333
189,2.5935018062591553,2.9409303665161133
190,2.6066906452178955,2.959343671798706
191,2.5357859134674072,2.9099299907684326
192,2.5330896377563477,2.892228126525879
193,2.547560214996338,2.907694101333618
194,2.616166114807129,2.963782787322998
195,2.5878398418426514,2.941237211227417
196,2.580000400543213,2.92991042137146
197,2.592691421508789,2.93757700920105
198,2.560817241668701,2.9045112133026123
199,2.5411059856414795,2.8944504261016846
200,2.5990235805511475,2.9495272636413574
